"filename", "language", "HTML", "C++", "YAML", "Markdown", "Dart", "Java Properties", "JSON", "Swift", "XML", "Kotlin", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/widgets/audio_story_item_widget.dart", "Dart", 0, 0, 0, 0, 426, 0, 0, 0, 0, 0, 11, 13, 450
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/widgets/audio_waveform_visualizer.dart", "Dart", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 11, 33, 260
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/widgets/floating_book_cover.dart", "Dart", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 7, 14, 212
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/widgets/rich_transcript_view.dart", "Dart", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 10, 99
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/category_selection_screen.dart", "Dart", 0, 0, 0, 0, 457, 0, 0, 0, 0, 0, 13, 30, 500
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login_screen.dart", "Dart", 0, 0, 0, 0, 390, 0, 0, 0, 0, 0, 9, 20, 419
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/register_screen.dart", "Dart", 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 10, 19, 326
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/providers/auth_provider.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 7, 26
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/domain/entities/book_detail_model.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 7, 99
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/presentation/pages/book_details_page.dart", "Dart", 0, 0, 0, 0, 1071, 0, 0, 0, 0, 0, 54, 55, 1180
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/presentation/viewmodels/book_details_view_model.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 10, 48
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/presentation/widgets/list_items.dart", "Dart", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 3, 7, 153
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/models/transcript_segment.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 13, 103
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/repositories/book_reader_repository.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/services/pdf_extraction_service.dart", "Dart", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 19, 20, 122
