"filename", "language", "Dart", "Python", "JSON", "HTML", "YAML", "C++", "XML", "Swift", "Markdown", "Kotlin", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_reset_password_button.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_text_field.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login_screen.dart", "Dart", -389, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -19, -417
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/register_screen.dart", "Dart", -296, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -18, -324
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/providers/auth_provider.dart", "Dart", 776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87, 865
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/auth_success_screen.dart", "Dart", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 124
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/email_verification_screen.dart", "Dart", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 155
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/login_screen.dart", "Dart", 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 438
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/otp_verification_screen.dart", "Dart", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 296
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/phone_login_screen.dart", "Dart", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 257
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/profile_setup_screen.dart", "Dart", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 389
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/screens/register_screen.dart", "Dart", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 411
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/widgets/auth_background.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 76
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/utils/auth_helpers.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/data/repositories/book_details_repository_impl.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 62
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/domain/entities/book_detail_model.dart", "Dart", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 271
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/domain/repositories/book_details_repository.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/presentation/pages/book_details_page.dart", "Dart", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -22, 90
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/presentation/pages/creator_details_page.dart", "Dart", 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 534
"/Users/omarragab/Projects/kutub_fm/lib/features/book_details/presentation/viewmodels/book_details_view_model.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 2, 55
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/models/transcript_segment.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/services/pdf_extraction_service.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 40
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/services/pdf_text_api_service.dart", "Dart", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 166
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/services/transcription_api_service.dart", "Dart", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 213
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/pages/book_reader_screen.dart", "Dart", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -34, 58
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/utils/transcript_text_helper.dart", "Dart", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -7
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/widgets/interactive_text_paragraph.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/omarragab/Projects/kutub_fm/lib/features/community/presentation/pages/community_screen.dart", "Dart", 494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 514
"/Users/omarragab/Projects/kutub_fm/lib/features/community/presentation/pages/post_details_screen.dart", "Dart", 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 522
"/Users/omarragab/Projects/kutub_fm/lib/features/home/data/repositories/home_repository_impl.dart", "Dart", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 23, 219
"/Users/omarragab/Projects/kutub_fm/lib/features/home/domain/entities/book_collection_entity.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/omarragab/Projects/kutub_fm/lib/features/home/domain/entities/book_entity.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/omarragab/Projects/kutub_fm/lib/features/home/domain/repositories/home_repository.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/best_this_month_screen.dart", "Dart", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 200
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/book_world_screen.dart", "Dart", 642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 32, 693
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/collection_details_screen.dart", "Dart", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 330
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/home_screen.dart", "Dart", 613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 27, 657
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/main_screen.dart", "Dart", -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -84
